2016-09-11 18:42:06 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-11 18:42:06 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 18:42:06 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 18:42:06 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-11 18:44:01 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-11 18:44:01 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 18:44:01 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 18:44:01 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-11 18:44:45 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-11 18:44:45 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 18:44:45 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 18:44:45 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-11 20:14:14 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-11 20:14:14 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 20:14:14 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 20:14:14 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-11 20:14:14 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-11 20:14:14 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 20:14:14 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 20:14:14 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-11 23:10:03 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-11 23:10:03 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 23:10:03 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 23:10:03 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-11 23:10:24 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-11 23:10:24 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 23:10:24 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 23:10:24 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-11 23:11:16 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-11 23:11:16 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 23:11:16 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 23:11:16 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-11 23:36:01 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-11 23:36:01 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 23:36:01 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 23:36:01 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-11 23:36:02 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-11 23:36:02 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 23:36:02 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-11 23:36:02 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-12 14:42:38 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-12 14:42:38 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:42:38 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:42:38 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-12 14:43:54 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-12 14:43:54 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:43:54 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:43:54 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-12 14:43:54 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-12 14:43:54 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:43:54 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:43:54 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-12 14:44:30 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-12 14:44:30 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:44:30 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:44:30 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-12 14:44:30 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-12 14:44:30 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:44:30 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:44:30 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-12 14:46:42 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-12 14:46:42 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:46:42 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:46:42 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-12 14:46:42 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-12 14:46:42 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:46:42 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:46:42 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-12 14:47:54 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-12 14:47:54 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:47:54 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:47:54 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-12 14:47:55 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-12 14:47:55 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:47:55 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:47:55 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-12 14:49:33 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-12 14:49:33 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:49:33 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:49:33 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-12 14:49:33 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-12 14:49:33 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:49:33 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:49:33 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-12 14:50:04 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-12 14:50:04 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:50:04 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-12 14:50:04 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-14 16:55:12 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-14 16:55:12 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-14 16:55:12 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-14 16:55:12 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
